"","loc_tag","long","lat","inout","time_group","PM1.0_CF1_ug/m3","PM2.5_CF1_ug/m3","PM10.0_CF1_ug/m3","RSSI_dbm","Temperature_F","Humidity_%","PM2.5_ATM_ug/m3","ADC","Pressure_hpa","IAQ"
"96","Hewett Blvd 1",-122.7322,45.50253,"outside","afternoon",6.9046963562753,10.3209896536212,10.8229824561404,-93.1735985533454,73.0415913200723,54.8173598553345,10.1498290598291,0.03,671.267654431513,NA
"97","Hewett Blvd 1",-122.7322,45.50253,"outside","morning",7.73126841243863,11.9865098199673,12.3741898527005,-93.1011608623549,65.3109452736318,74.5489220563847,11.7318289689034,0.03,666.566607431341,NA
"98","Hewett Blvd 1",-122.7322,45.50253,"outside","night",7.81315427589171,11.8226858616244,12.4497507520413,-92.9186851211073,67.5190311418685,65.9602076124567,11.538981521272,0.03,667.877224594364,NA
"99","Home",-122.8537,45.55947,"inside","afternoon",4.57153703703704,7.63738888888889,8.92949259259259,-58.8081481481481,76.7748148148148,42.6088888888889,6.67371481481482,0.01,1013.25462222222,NA
"100","Home",-122.8537,45.55947,"inside","morning",2.74804814814815,4.36211111111111,4.95924814814815,-57.8711111111111,74.6859259259259,41.4385185185185,4.3621,0.01,1013.71828888889,NA
"101","Home",-122.8537,45.55947,"inside","night",2.20154814814815,3.64572222222222,4.2752,-58.3666666666667,77.0740740740741,40.0681481481481,3.64570740740741,0.01,1013.25677777778,NA
"102","Infused Outside",-122.6929,45.42434,"outside","afternoon",1.9783467094703,3.83529695024077,4.91213483146067,-78.7611464968153,65.6624203821656,55.0254777070064,3.83529695024077,0.01,1013.79317152104,NA
"103","Infused Outside",-122.6929,45.42434,"outside","morning",15.2301774193548,23.6169193548387,26.1343225806452,-75.5612903225806,59.4387096774194,63.9,18.1587741935484,0.01,994.858903225806,NA
"104","Infused Outside",-122.6929,45.42434,"outside","night",5.48801388888889,8.89204166666667,10.2677083333333,-77.9,57.075,64.4722222222222,8.51225,0.01,1014.55530555556,NA
"105","Inside",-122.6332,45.49953,"inside","afternoon",0.518059259259259,0.940681481481481,1.07688148148148,-58.2940740740741,78.7577777777778,41.197037037037,0.940577777777778,0,1013.73911111111,NA
"106","Inside",-122.6332,45.49953,"inside","morning",0.417701960784314,0.875811764705882,1.10686274509804,-57.3670588235294,76.003137254902,41.4149019607843,0.646972549019608,0,1014.0126745098,NA
"107","Inside",-122.6332,45.49953,"inside","night",0.120288888888889,0.303688888888889,0.395296296296296,-57.1192592592593,73.4807407407407,43.5296296296296,0.303688888888889,0,1013.67893333333,NA
"108","Irvington NE 12th & Tillamook",-122.6532,45.53725,"outside","afternoon",7.6702962962963,11.2430851851852,12.4373296296296,-60.737037037037,76.3666666666667,42.602962962963,11.1370703703704,0.0295259259259259,1013.77357037037,NA
"109","Irvington NE 12th & Tillamook",-122.6532,45.53725,"outside","morning",8.07088888888889,12.8566814814815,14.8058444444444,-59.8888888888889,66.4118518518518,58.4777777777778,12.8302481481481,0.03,1014.20765925926,NA
"110","Irvington NE 12th & Tillamook",-122.6532,45.53725,"outside","night",9.7452962962963,14.1503851851852,15.7492296296296,-60.1214814814815,68.9192592592593,53.2807407407407,14.0220407407407,0.03,1013.807,NA
"111","Jan's Air",-122.6669,45.5763,"outside","afternoon",9.59861740707162,14.6798957388939,16.244274705349,-87.6050955414013,71.6096451319381,50.0691537761601,13.9689528558477,0.04,1016.2033604336,NA
"112","Jan's Air",-122.6669,45.5763,"outside","morning",10.3329697452229,17.150625,19.4966401273885,-86.4920508744038,61.4515103338633,69.7980922098569,16.6822054140127,0.04,1016.23326953748,NA
"113","Jan's Air",-122.6669,45.5763,"outside","night",11.732288676236,18.3614354066986,20.6392025518341,-87.0454908220271,61.7845171588188,66.9465283320032,17.4303110047847,0.04,1015.8521752988,NA
"114","Joy Fortress",-122.6106,45.53292,"inside","afternoon",10.4253104575163,14.9606862745098,16.3589052287582,-70.1764705882353,74.8660130718954,40.8366013071895,11.0804738562091,0.01,1014.57888888889,NA
"115","Joy Fortress",-122.6106,45.53292,"inside","morning",2.49823008849558,4.21212389380531,5.18044247787611,-72.1858407079646,72.6017699115044,49.6371681415929,4.21212389380531,0.01,1021.24371681416,NA
"116","Joy Fortress",-122.6106,45.53292,"inside","night",2.82470588235294,4.50176470588235,5.27,-76.0588235294118,77,41.5882352941176,4.50176470588235,0.01,1013.38705882353,NA
"117","Ku'Ale Heights Milwaukie, OR",-122.6374,45.43199,"outside","afternoon",8.41075555555556,12.9569555555556,13.9407333333333,-74.0311111111111,81.0459259259259,41.7177777777778,12.6213777777778,0.03,1012.45814814815,NA
"118","Ku'Ale Heights Milwaukie, OR",-122.6374,45.43199,"outside","morning",8.35108518518519,14.3772555555556,16.0356259259259,-73.9525925925926,65.4725925925926,63.4133333333333,14.3380148148148,0.03,1012.94505925926,NA
"119","Ku'Ale Heights Milwaukie, OR",-122.6374,45.43199,"outside","night",10.6902592592593,16.9959888888889,18.6611407407407,-73.8740740740741,68.0503703703704,56.8859259259259,16.5438333333333,0.03,1012.50803703704,NA
